,name,max_score,dx,dy,dz,atlas_rig_dist_man,atlas_rig_dist_det,atlas_rig_score,atlas_aff_dist_man,atlas_aff_dist_det,atlas_aff_score,atlas_det_dist_man,atlas_det_dist_det,atlas_det_score
0,10N_L,4.044719051379477,594.75,594.75,600.0,643.4844302202198,670.8910549647993,0.0,480.5587648024572,531.9670049740522,0.0,643.4844302202198,670.8910549647993,0.0
1,10N_R,3.9972564534271924,594.75,594.75,600.0,565.6348061158947,1074.0975482838166,0.0,380.59462272946314,937.2229893828014,0.0,565.6348061158947,1074.0975482838166,0.0
2,12N,3.016444569041762,663.0,663.0,600.0,565.5940729210856,232.3832100811058,-0.3015415673884074,429.16191857759003,139.18057585733303,-0.12766065408974508,565.5940729210856,232.3832100811058,-0.3015415673884074
3,3N_L,3.5930632544992687,594.75,594.75,600.0,318.37138980778,919.1571413380516,0.0,349.76900176378274,931.9705095640988,0.0,318.37138980778,919.1571413380516,0.0
4,3N_R,3.073020459894476,594.75,594.75,600.0,303.71028486002945,880.6230300169537,0.0,326.76966768789475,861.6465070813749,0.0,303.71028486002945,880.6230300169537,0.0
5,4N_L,4.629459352606019,594.75,594.75,600.0,332.18032526825885,951.4640559644467,0.0,327.774597482832,924.2249276991931,0.0,332.18032526825885,951.4640559644467,0.0
6,4N_R,4.453532039995867,594.75,594.75,600.0,266.2383878805672,899.8618891987185,0.0,243.0709396465322,865.2407294573042,0.0,266.2383878805672,899.8618891987185,0.0
7,5N_L,3.321138131282435,594.75,594.75,600.0,228.36202848122625,150.6660500421936,0.4899068754426928,365.14214992918727,187.73317687047995,0.762055461895201,228.36202848122625,150.6660500421936,0.4899068754426928
8,5N_R,2.902153041353653,594.75,594.75,600.0,294.38456928279305,113.43354202327586,0.9859261452749146,288.47417843161554,168.38195951529877,1.4795519305391334,294.38456928279305,113.43354202327586,0.9859261452749146
9,6N_L,4.519582936375161,594.75,594.75,600.0,679.123037794801,629.3663029182718,0.0,669.2867847157339,613.3610614897995,0.0,679.123037794801,629.3663029182718,0.0
10,6N_R,4.724561199267757,594.75,594.75,600.0,811.2693169967592,934.8778057439442,0.0,788.7825431982715,913.0481881189038,0.0,811.2693169967592,934.8778057439442,0.0
11,7N_L,2.100170179736111,594.75,594.75,600.0,2520.9149009036755,1080.035654787507,0.0,2468.8267572267737,903.086066930886,0.0,2520.9149009036755,1080.035654787507,0.0
12,7N_R,3.2530719340762846,594.75,594.75,600.0,168.45835624193592,3542.7900822163188,0.0,133.51233104804442,3607.9633192897854,0.0,168.45835624193592,3542.7900822163188,0.0
13,AP,2.433184016770737,594.75,594.75,600.0,517.5700893798022,358.18856986557313,0.1883439403989927,369.0579012600232,220.96167747618784,0.1283244922422643,517.5700893798022,358.18856986557313,0.1883439403989927
14,Amb_L,3.1820203835054004,594.75,594.75,600.0,351.05259322943954,909.1607598571929,0.0,422.178749968909,933.5977797472658,0.0,351.05259322943954,909.1607598571929,0.0
15,DC_L,3.6520775836213626,594.75,594.75,600.0,273.15963623456594,659.4640207233073,0.0,158.03797302791298,808.4788438684517,0.0,273.15963623456594,659.4640207233073,0.0
16,DC_R,3.162591206331631,594.75,594.75,600.0,183.85443886686045,427.96354363047294,0.0,245.35746227783588,393.9610868177105,-0.6915756088069747,183.85443886686045,427.96354363047294,0.0
17,IC,2.7696941831766644,1062.75,1062.75,600.0,748.2980029472924,1277.9413904216972,0.0,376.76605968814374,937.9581905748527,0.0,748.2980029472924,1277.9413904216972,0.0
18,LC_L,3.275440268826353,594.75,594.75,600.0,308.986809922163,409.77349906966055,-0.5260533185813607,308.626924649322,381.0137990090463,-2.114663257505466,308.986809922163,409.77349906966055,-0.5260533185813607
19,LC_R,3.2715476812090687,594.75,594.75,600.0,357.5457600326708,467.3613442606518,0.0,303.62251795324244,508.5952057945728,0.0,357.5457600326708,467.3613442606518,0.0
20,LRt_L,3.73461618624871,624.0,624.0,600.0,260.4542650744071,978.8693393248345,0.0,390.13739426636573,952.0016852851917,0.0,260.4542650744071,978.8693393248345,0.0
21,LRt_R,2.554226449732992,624.0,624.0,600.0,310.2677166914846,788.8678109787363,0.0,298.2903557835705,838.8442453534906,0.0,310.2677166914846,788.8678109787363,0.0
22,PBG_L,3.8295806381031348,594.75,594.75,600.0,379.07442339158297,341.00005981301183,-0.3879569741049167,399.4783499781671,305.8424267673014,-1.8766135965334314,379.07442339158297,341.00005981301183,-0.3879569741049167
23,PBG_R,4.162529597819154,594.75,594.75,600.0,103.38693492473682,317.73406680283716,0.9604798200732381,228.19208785669048,388.02270119903824,0.27783386939769034,103.38693492473682,317.73406680283716,0.9604798200732381
24,Pn_L,2.8902231763207498,653.25,653.25,600.0,125.06544532300092,159.1543114107476,0.7009933536846076,370.80502712927716,321.92385770573384,0.9544857630868212,125.06544532300092,159.1543114107476,0.7009933536846076
25,Pn_R,4.022889258336457,653.25,653.25,600.0,228.23677351036338,1587.7189804676968,0.0,369.04602071717227,1386.1316111879328,0.0,228.23677351036338,1587.7189804676968,0.0
26,RtTg,3.916652228655882,780.0,780.0,600.0,167.97175054690666,822.5208256373118,0.0,350.2158821645806,629.9224073819469,0.0,167.97175054690666,822.5208256373118,0.0
27,SNC_L,4.469258656447625,594.75,594.75,600.0,142.70113020265418,152.56654627715568,-0.7278263355637327,412.4698726206234,411.1263857780236,2.105887075809938,142.70113020265418,152.56654627715568,-0.7278263355637327
28,SNC_R,2.8644629059543782,594.75,594.75,600.0,498.9524505228412,910.2038347664751,0.0,608.2649048382589,838.2599132712136,0.0,498.9524505228412,910.2038347664751,0.0
29,SNR_L,2.516355326293158,838.5,838.5,600.0,1287.5966968735702,332.47307995361723,-0.8553347191137394,1415.524944036051,578.2466258269446,0.0,1287.5966968735702,332.47307995361723,-0.8553347191137394
30,SNR_R,2.3988265317517756,838.5,838.5,600.0,280.2453628328145,421.2594168504605,1.537256107615673,314.83665028251806,208.99351107296832,1.283248751629013,280.2453628328145,421.2594168504605,1.537256107615673
31,Sp5C_L,3.1868282991037615,916.5,916.5,600.0,685.8603417494177,2634.1028593326646,0.0,639.1257754358356,2556.0624807966265,0.0,685.8603417494177,2634.1028593326646,0.0
32,Sp5C_R,2.991994344555619,916.5,916.5,600.0,510.0776750350563,609.8799262191794,0.0,440.2448998842642,599.7196291125208,0.0,510.0776750350563,609.8799262191794,0.0
33,Sp5I_L,2.397239007004671,828.75,828.75,600.0,656.9189279601151,825.861733029791,0.0,533.7216739334817,860.071020293519,0.0,656.9189279601151,825.861733029791,0.0
34,Sp5I_R,3.3407070576938613,828.75,828.75,600.0,638.3058811939625,357.3766638751365,-0.13659414417641286,600.384605637386,444.0937836930426,0.8759464826938467,638.3058811939625,357.3766638751365,-0.13659414417641286
35,Tz_L,3.2499063156294636,594.75,594.75,600.0,212.58687184012038,982.5231897190763,0.0,199.45343625301112,736.1532007140177,0.0,212.58687184012038,982.5231897190763,0.0
36,Tz_R,2.5626067951977074,594.75,594.75,600.0,240.50037891893422,1230.156614877956,0.0,65.32955813601143,945.5790077666438,0.0,240.50037891893422,1230.156614877956,0.0
37,VCA_L,3.316394204027221,789.75,789.75,600.0,262.72401418802133,229.98584668899687,1.3783695430200729,333.41826213460456,391.6957293172348,0.4678781171254035,262.72401418802133,229.98584668899687,1.3783695430200729
38,VCA_R,3.988726126280307,789.75,789.75,600.0,178.32609182973673,1210.9540572181218,0.0,26.984537960643706,1277.456592411549,0.0,178.32609182973673,1210.9540572181218,0.0
39,VCP_L,2.8490457955571564,594.75,594.75,600.0,441.3511478290524,1207.0206099412958,0.0,400.0210492691127,1184.0689063360521,0.0,441.3511478290524,1207.0206099412958,0.0
40,VCP_R,3.370396676568127,594.75,594.75,600.0,177.49516849006255,822.5230884053598,0.0,312.65985783826943,965.4235161236422,0.0,177.49516849006255,822.5230884053598,0.0
41,VLL_L,2.945310918393975,770.25,770.25,600.0,868.8454578187265,430.82372400045216,-0.027473627682969955,1143.4466416912412,700.6024788130514,0.0,868.8454578187265,430.82372400045216,-0.027473627682969955
42,VLL_R,2.7259316548028396,770.25,770.25,600.0,848.5504314078521,767.3763835673757,0.0,940.9010390842762,849.9585679726821,0.0,848.5504314078521,767.3763835673757,0.0
